Id,ExtLinks,CreateDate,UpdateDate,Bioproject,Biosample,Experiment,Experiment_name,Experiment_status,Experiment_ver,Instrument_ILLUMINA,LibraryLayout,LibraryName,LibrarySelection,LibrarySource,LibraryStrategy,Organism_ScientificName,Organism_taxid,Sample,Sample_name,Study,Study_name,Submitter,Submitter_center_name,Submitter_contact_name,Submitter_lab_name,Run,Run_cluster_name,Run_is_public,Run_load_done,Run_static_data_available,Run_total_bases,Run_total_spots
4189746,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934328,49V1,public,1,NextSeq 500,PAIRED,G15-004-9,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713941,public,true,true,true,8052424561,26746751
4189745,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934327,49V1,public,1,NextSeq 500,PAIRED,G15-004-10,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713942,public,true,true,true,9891099621,36978189
4189744,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934326,13V1,public,1,NextSeq 500,PAIRED,G15-004-5,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713943,public,true,true,true,6069982512,40188785
4189743,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934325,13V1,public,1,NextSeq 500,PAIRED,G15-004-6,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713944,public,true,true,true,4489181506,29737797
4189742,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934324,49V1,public,1,NextSeq 500,PAIRED,G15-004-7,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713945,public,true,true,true,10254057429,34063823
4189741,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934323,49V1,public,1,NextSeq 500,PAIRED,G15-004-8,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713946,public,true,true,true,9326428928,30982145
4189740,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934322,13V1,public,1,NextSeq 500,PAIRED,G15-004-1,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713947,public,true,true,true,3697229564,12242482
4189739,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934321,13V1,public,1,NextSeq 500,PAIRED,G15-004-2,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713948,public,true,true,true,3787525752,12541476
4189738,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934320,13V1,public,1,NextSeq 500,PAIRED,G15-004-3,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713949,public,true,true,true,3982474906,13187003
4189737,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934319,13V1,public,1,NextSeq 500,PAIRED,G15-004-4,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713950,public,true,true,true,7601452825,50349085
4189736,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934318,49V1,public,1,NextSeq 500,PAIRED,G15-004-11,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713951,public,true,true,true,10228621443,37701251
4189735,,2017/06/20,2017/06/20,PRJNA361402,SAMN07251856,SRX2934317,49V1,public,1,NextSeq 500,PAIRED,G15-004-12,PCR,METAGENOMIC,WGS,human metagenome,646099,SRS2296668,,SRP100518,human gut metagenome Metagenome,SRA576017,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5713952,public,true,true,true,9619626793,37234633
4076398,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838515,20V3,public,1,NextSeq 500,PAIRED,G15-003-129,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580291,public,true,true,true,706517871,2349283
4076397,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838514,20V3,public,1,NextSeq 500,PAIRED,G15-003-130,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580292,public,true,true,true,846342628,2813468
4076396,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838513,20V1,public,1,NextSeq 500,PAIRED,G15-003-125,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580293,public,true,true,true,857050877,2848319
4076395,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838512,20V1,public,1,NextSeq 500,PAIRED,G15-003-126,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580294,public,true,true,true,726685709,2416072
4076394,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838511,20V1,public,1,NextSeq 500,PAIRED,G15-003-127,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580295,public,true,true,true,858847544,2854230
4076393,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838510,20V3,public,1,NextSeq 500,PAIRED,G15-003-128,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580296,public,true,true,true,2620710398,8677849
4076392,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838509,20V1,public,1,NextSeq 500,PAIRED,G15-003-121,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580297,public,true,true,true,851771667,2831698
4076391,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838508,20V1,public,1,NextSeq 500,PAIRED,G15-003-122,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580298,public,true,true,true,726384800,2415629
4076390,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838507,20V1,public,1,NextSeq 500,PAIRED,G15-003-123,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580299,public,true,true,true,851946216,2832150
4076389,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838506,20V1,public,1,NextSeq 500,PAIRED,G15-003-124,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580300,public,true,true,true,731042160,2430609
4076388,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838505,2V5,public,1,NextSeq 500,PAIRED,G15-003-340,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580301,public,true,true,true,279171168,928568
4076387,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838504,25V1,public,1,NextSeq 500,PAIRED,G15-003-220,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580302,public,true,true,true,895454766,2977035
4076386,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838503,25V1,public,1,NextSeq 500,PAIRED,G15-003-224,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580303,public,true,true,true,902015160,2997897
